cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
50,Rule-Based,CAV050_Rule-Based_3600pcu_h,2,109.2,-0.28,128,4,64,11.7745,0.1081,0.0
50,No-V2X,CAV050_No-V2X_1200pcu_h,76,128.88,8.4,20,0,14,0.0,0.0,0.727
50,No-V2X,CAV050_No-V2X_2000pcu_h,123,134.04,14.07,35,0,25,0.0,0.0,0.5859
50,No-V2X,CAV050_No-V2X_2800pcu_h,163,137.27,17.0,51,0,35,0.0,0.0,0.56
50,No-V2X,CAV050_No-V2X_3600pcu_h,205,148.28,28.19,53,0,43,0.0,0.0,0.5787
50,DRL (PPO),CAV050_DRL_PPO_1200pcu_h,52,136.67,17.57,16,0,20,0.0,0.0,0.6257
50,DRL (PPO),CAV050_DRL_PPO_2000pcu_h,122,136.28,16.57,26,0,26,0.0,0.0,0.5375
50,DRL (PPO),CAV050_DRL_PPO_2800pcu_h,175,138.1,18.07,41,2,31,0.0,0.0,0.5068
50,DRL (PPO),CAV050_DRL_PPO_3600pcu_h,203,141.97,22.18,45,2,42,0.0,0.0,0.4985
70,Game (Ours),CAV070_Game_Ours_1200pcu_h,78,130.75,6.84,31,0,9,0.0,0.0,0.742
70,Game (Ours),CAV070_Game_Ours_2000pcu_h,128,133.45,9.99,68,0,18,0.0,0.0,0.6958
70,Game (Ours),CAV070_Game_Ours_2800pcu_h,172,139.05,15.17,98,0,28,0.0,0.0,0.643
70,Game (Ours),CAV070_Game_Ours_3600pcu_h,218,141.45,17.3,132,0,32,0.0,0.0,0.5765
70,SUMO Default,CAV070_SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
70,SUMO Default,CAV070_SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
70,SUMO Default,CAV070_SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
70,SUMO Default,CAV070_SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
70,Rule-Based,CAV070_Rule-Based_1200pcu_h,3,118.2,-0.36,35,2,17,5.8518,0.0637,0.0
70,Rule-Based,CAV070_Rule-Based_2000pcu_h,3,118.2,-0.35,89,2,24,5.6201,0.0671,0.0
70,Rule-Based,CAV070_Rule-Based_2800pcu_h,3,118.2,-0.35,121,2,33,5.1656,0.0592,0.0
70,Rule-Based,CAV070_Rule-Based_3600pcu_h,3,118.2,-0.35,219,2,54,6.0393,0.0754,0.0
70,No-V2X,CAV070_No-V2X_1200pcu_h,80,130.91,7.18,30,0,11,0.0,0.0,0.7478
70,No-V2X,CAV070_No-V2X_2000pcu_h,127,132.67,9.38,49,0,22,0.0,0.0,0.6143
70,No-V2X,CAV070_No-V2X_2800pcu_h,174,140.31,16.93,61,0,32,0.0,0.0,0.6128
70,No-V2X,CAV070_No-V2X_3600pcu_h,212,143.91,19.73,87,2,38,0.0,0.0,0.5797
70,DRL (PPO),CAV070_DRL_PPO_1200pcu_h,79,131.04,7.22,22,0,11,0.0,0.0,0.7226
70,DRL (PPO),CAV070_DRL_PPO_2000pcu_h,126,133.2,9.92,45,0,21,0.0,0.0,0.6172
70,DRL (PPO),CAV070_DRL_PPO_2800pcu_h,165,138.77,15.29,52,0,31,0.0,0.0,0.5627
70,DRL (PPO),CAV070_DRL_PPO_3600pcu_h,213,142.26,18.23,69,0,42,0.0,0.0,0.4961
100,Game (Ours),CAV100_Game_Ours_1200pcu_h,77,131.98,2.89,44,0,9,0.0,0.0,0.9072
100,Game (Ours),CAV100_Game_Ours_2000pcu_h,127,133.33,4.73,81,0,17,0.0,0.0,0.7432
100,Game (Ours),CAV100_Game_Ours_2800pcu_h,174,135.32,6.66,111,0,22,0.0,0.0,0.6078
100,Game (Ours),CAV100_Game_Ours_3600pcu_h,195,151.2,22.47,215,2,26,0.0,0.0,0.5261
100,SUMO Default,CAV100_SUMO_Default_1200pcu_h,61,149.45,20.0,0,0,10,16.6595,0.5673,0.6792
100,SUMO Default,CAV100_SUMO_Default_2000pcu_h,35,138.83,9.75,0,0,54,14.9422,0.2971,0.7567
100,SUMO Default,CAV100_SUMO_Default_2800pcu_h,41,137.69,9.42,0,2,72,14.9571,0.2672,0.5166
100,SUMO Default,CAV100_SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
100,Rule-Based,CAV100_Rule-Based_1200pcu_h,85,110.64,1.7,51,0,8,0.0404,0.0357,0.8189
