cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
70,SUMO Default,SUMO_Default_2800pcu_h,41.0,137.7,9.4,0.0,2.0,72.0,15.0,0.3,0.5
70,SUMO Default,SUMO_Default_3600pcu_h,57.0,161.8,34.0,0.0,0.0,92.0,16.6,0.3,0.4
70,Rule-Based,Rule-Based_1200pcu_h,3.0,118.2,-0.4,35.0,2.0,17.0,4.6,0.1,0.0
70,Rule-Based,Rule-Based_2000pcu_h,3.0,118.2,-0.3,115.3,2.0,24.0,5.4,0.1,0.0
70,Rule-Based,Rule-Based_2800pcu_h,3.0,118.2,-0.3,152.3,2.0,32.3,5.1,0.1,0.0
70,Rule-Based,Rule-Based_3600pcu_h,3.0,118.2,-0.4,205.7,2.0,53.3,6.2,0.1,0.0
70,No-V2X,No-V2X_1200pcu_h,77.7,131.8,6.4,26.0,0.0,10.7,0.0,0.0,0.7
70,No-V2X,No-V2X_2000pcu_h,125.0,136.8,12.0,45.7,0.0,21.0,0.0,0.0,0.6
70,No-V2X,No-V2X_2800pcu_h,165.3,142.6,17.9,57.7,0.0,30.7,0.0,0.0,0.6
70,No-V2X,No-V2X_3600pcu_h,198.3,149.8,25.2,91.0,0.0,38.7,0.0,0.0,0.5
70,DRL (PPO),DRL_PPO_1200pcu_h,74.7,132.2,6.8,22.7,0.0,10.7,0.0,0.0,0.7
70,DRL (PPO),DRL_PPO_2000pcu_h,122.0,136.9,12.3,38.7,0.0,20.0,0.0,0.0,0.6
70,DRL (PPO),DRL_PPO_2800pcu_h,158.3,144.6,20.0,48.0,0.0,31.3,0.0,0.0,0.5
70,DRL (PPO),DRL_PPO_3600pcu_h,201.7,152.1,27.5,59.0,0.7,39.7,0.0,0.0,0.5
100,Game (Ours),Game_Ours_1200pcu_h,75.0,133.7,2.7,41.7,0.0,8.7,0.0,0.0,0.9
100,Game (Ours),Game_Ours_2000pcu_h,127.0,135.0,4.8,70.3,0.7,13.0,0.0,0.0,0.7
