cav_rate,model,scenario,total_vehicles,avg_travel_time,avg_delay,lc_cnt,collisions,max_queue,jerk_p95,jerk_comfort_violation_rate,delay_gini
10,SUMO Default,SUMO_Default_3600pcu_h,57,161.82,33.95,0,0,92,16.5645,0.2957,0.4053
10,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.27,4,2,35,11.525,0.1381,0.0
10,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.27,4,2,35,11.525,0.1381,0.0
10,Rule-Based,Rule-Based_1200pcu_h,2,109.2,-0.27,4,2,35,11.525,0.1381,0.0
10,Rule-Based,Rule-Based_2000pcu_h,2,109.2,-0.28,6,4,56,9.1963,0.1368,0.0
10,Rule-Based,Rule-Based_2000pcu_h,2,109.2,-0.28,6,4,56,8.806,0.1239,0.0
10,Rule-Based,Rule-Based_2000pcu_h,2,109.2,-0.28,6,4,56,8.7792,0.1243,0.0
10,Rule-Based,Rule-Based_2800pcu_h,2,109.2,-0.28,0,4,86,10.5689,0.1268,0.0
10,Rule-Based,Rule-Based_2800pcu_h,2,109.2,-0.27,10,2,78,10.0264,0.1253,0.0
10,Rule-Based,Rule-Based_2800pcu_h,2,109.2,-0.27,8,2,78,10.6341,0.127,0.0
10,Rule-Based,Rule-Based_3600pcu_h,2,109.2,-0.27,0,4,108,12.1721,0.1593,0.0
10,Rule-Based,Rule-Based_3600pcu_h,2,109.2,-0.28,18,4,100,11.8337,0.1393,0.0
10,Rule-Based,Rule-Based_3600pcu_h,2,109.2,-0.28,13,4,100,12.3805,0.151,0.0
10,No-V2X,No-V2X_1200pcu_h,78,123.66,7.91,5,0,13,0.0,0.0,0.5519
10,No-V2X,No-V2X_1200pcu_h,82,123.55,9.35,2,0,15,0.0,0.0,0.5664
10,No-V2X,No-V2X_1200pcu_h,80,123.32,7.87,3,0,12,0.0,0.0,0.5085
10,No-V2X,No-V2X_2000pcu_h,130,131.2,16.8,13,0,28,0.0,0.0,0.586
10,No-V2X,No-V2X_2000pcu_h,132,127.54,14.01,5,0,23,0.0,0.0,0.5151
10,No-V2X,No-V2X_2000pcu_h,123,133.4,18.71,7,0,25,0.0,0.0,0.504
10,No-V2X,No-V2X_2800pcu_h,167,140.14,25.69,7,0,32,0.0,0.0,0.4396
10,No-V2X,No-V2X_2800pcu_h,171,138.77,25.26,2,0,34,0.0,0.0,0.4303
10,No-V2X,No-V2X_2800pcu_h,169,137.87,23.57,12,0,32,0.0,0.0,0.4319
10,No-V2X,No-V2X_3600pcu_h,209,138.24,23.71,14,0,42,0.0,0.0,0.4257
10,No-V2X,No-V2X_3600pcu_h,224,140.08,26.73,6,0,42,0.0,0.0,0.4396
10,No-V2X,No-V2X_3600pcu_h,206,145.31,31.27,17,0,52,0.0,0.0,0.4284
10,DRL (PPO),DRL_PPO_1200pcu_h,80,122.24,6.63,4,0,13,0.0,0.0,0.5728
10,DRL (PPO),DRL_PPO_1200pcu_h,82,123.55,9.34,2,0,15,0.0,0.0,0.5667
10,DRL (PPO),DRL_PPO_1200pcu_h,79,123.39,7.96,6,0,12,0.0,0.0,0.5081
10,DRL (PPO),DRL_PPO_2000pcu_h,130,127.47,13.28,9,0,27,0.0,0.0,0.5638
10,DRL (PPO),DRL_PPO_2000pcu_h,133,127.25,13.83,2,0,23,0.0,0.0,0.5394
10,DRL (PPO),DRL_PPO_2000pcu_h,117,134.33,19.61,10,0,30,0.0,0.0,0.4978
10,DRL (PPO),DRL_PPO_2800pcu_h,173,137.7,23.32,5,0,33,0.0,0.0,0.5006
10,DRL (PPO),DRL_PPO_2800pcu_h,170,137.43,23.92,2,0,34,0.0,0.0,0.4627
10,DRL (PPO),DRL_PPO_2800pcu_h,165,141.32,26.88,8,0,33,0.0,0.0,0.4896
10,DRL (PPO),DRL_PPO_3600pcu_h,213,141.43,27.08,9,0,45,0.0,0.0,0.5038
10,DRL (PPO),DRL_PPO_3600pcu_h,215,142.0,28.51,3,0,41,0.0,0.0,0.3744
10,DRL (PPO),DRL_PPO_3600pcu_h,222,144.08,29.91,9,0,42,0.0,0.0,0.4298
